Availibility,CRN,Subject,Course Number,Section,Campus,Credits,Course Title,Days,Time,Capacity,Registered Seats,Remaining Seats,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,11681,MTH,201,34,2,3.000,Calculus III,TR,09:30 am-10:45 am,40,10,30,15,0,15,0,0,0,Jean Halim Takchi (P),08/31-12/08,204 0605,
NR,11682,MTH,201,35,2,3.000,Calculus III,TR,11:00 am-12:15 pm,40,13,27,15,0,15,0,0,0,Jean Halim Takchi (P),08/31-12/08,204 0505,
NR,11683,MTH,201,36,2,3.000,Calculus III,TR,12:30 pm-01:45 pm,40,1,39,15,0,15,0,0,0,TBA,08/31-12/08,204 0505,
NR,11684,MTH,201,37,2,3.000,Calculus III,MWF,11:00 am-11:50 am,40,0,40,15,0,15,0,0,0,Nader Nabil El Khatib (P),08/31-12/08,204 0607,
NR,11685,MTH,206,31,2,3.000,Calculus IV,TR,08:00 am-09:15 am,40,25,15,15,0,15,0,0,0,TBA,08/31-12/08,204 0504,
NR,11693,MTH,207,31,2,3.000,Discrete Structures I,MWF,12:00 pm-12:50 pm,40,4,36,15,0,15,0,0,0,TBA,08/31-12/08,204 0504,
NR,11694,MTH,207,32,2,3.000,Discrete Structures I,TR,12:30 pm-01:45 pm,40,7,33,15,0,15,0,0,0,Chadi Mohamad Nour (P),08/31-12/08,206 0503,
NR,11695,MTH,207,33,2,3.000,Discrete Structures I,TR,03:30 pm-04:45 pm,40,0,40,15,0,15,0,0,0,Chadi Mohamad Nour (P),08/31-12/08,204 0505,
NR,11696,MTH,207,34,2,3.000,Discrete Structures I,MWF,01:00 pm-01:50 pm,40,1,39,15,0,15,0,0,0,TBA,08/31-12/08,204 0505,
NR,11697,MTH,207,35,2,3.000,Discrete Structures I,TR,03:30 pm-04:45 pm,40,1,39,0,0,0,0,0,0,TBA,08/31-12/08,204 0607,
NR,11699,MTH,301,31,2,3.000,Linear Algebra,MWF,09:00 am-09:50 am,40,14,26,15,0,15,0,0,0,Nader Nabil El Khatib (P),08/31-12/08,204 0503,
NR,11701,MTH,304,31,2,3.000,Differential Equations,MWF,09:00 am-09:50 am,40,18,22,15,0,15,0,0,0,Rony Georges Touma (P),08/31-12/08,204 0504,
C,11703,MTH,305,31,2,3.000,Probability and Statistics,TR,11:00 am-12:15 pm,40,40,0,15,2,13,0,0,0,Chadi Mohamad Nour (P),08/31-12/08,201 0403,
